College Name,Department,HOD Name,Designation,Mobile Number,Alternate Phone,Official Email,Department Email,LinkedIn,Faculty Profile URL,College Website,Source URL,Verification Status
PSG College of Technology,Electronics and Communication Engineering,Dr. Krishnaveni V,Head of Department,,,hod.ece@psgtech.ac.in,hod.ece@psgtech.ac.in,,,https://www.psgtech.edu/,https://psgtech.edu/Heads.php,Verified
PSG College of Technology,Computer Science Engineering,Dr.Sudha Sadasivam G,Head of Department,,,hod.cse@psgtech.ac.in,hod.cse@psgtech.ac.in,,,https://www.psgtech.edu/,https://psgtech.edu/Heads.php,Verified
PSG College of Technology,Information Technology,Dr.Vinoth Kumar B,Head of Department,,,hod.it@psgtech.ac.in,hod.it@psgtech.ac.in,,,https://www.psgtech.edu/,https://psgtech.edu/Heads.php,Verified
PSG College of Technology,Artificial Intelligence & Data Science,Contact Department,Head of Department,,,,,,,https://www.psgtech.edu/,,Unverified
PSG College of Technology,AI & ML,Contact Department,Head of Department,,,,,,,https://www.psgtech.edu/,,Unverified
PSG College of Technology,Electrical and Electronics Engineering,Dr.Natarajan A,Head of Department,,,hod.eee@psgtech.ac.in,hod.eee@psgtech.ac.in,,,https://www.psgtech.edu/,https://psgtech.edu/Heads.php,Verified
PSG College of Technology,Mechatronics,Dr.Vinod B,Head of Department,,,,,,,https://www.psgtech.edu/,https://psgtech.edu/Heads.php,Verified
PSG College of Technology,Robotics,Dr.Vinod B,Head of Department,,,hod.rae@psgtech.ac.in,hod.rae@psgtech.ac.in,,,https://www.psgtech.edu/,https://psgtech.edu/Heads.php,Verified
PSG College of Technology,IoT,Contact Department,Head of Department,,,,,,,https://www.psgtech.edu/,,Unverified
PSG College of Technology,Mechanical Engineering,Dr.Kannan K,Head of Department,,,hod.mech@psgtech.ac.in,hod.mech@psgtech.ac.in,,,https://www.psgtech.edu/,https://psgtech.edu/Heads.php,Verified
PSG College of Technology,Civil Engineering,Mr.Sivakumar C G,Head of Department,,,hod.civil@psgtech.ac.in,hod.civil@psgtech.ac.in,,,https://www.psgtech.edu/,https://psgtech.edu/Heads.php,Verified
PSG College of Technology,Biomedical Engineering,Dr. Vidhyapriya R,Head of Department,,,hod.bme@psgtech.ac.in,hod.bme@psgtech.ac.in,,,https://www.psgtech.edu/,https://psgtech.edu/Heads.php,Verified
PSG College of Technology,Automobile Engineering,Dr.Neelakrishnan S,Head of Department,,,hod.auto@psgtech.ac.in,hod.auto@psgtech.ac.in,,,https://www.psgtech.edu/,https://psgtech.edu/Heads.php,Verified
PSG College of Technology,Aeronautical Engineering,Contact Department,Head of Department,,,,,,,https://www.psgtech.edu/,,Unverified
PSG College of Technology,Cyber Security,Contact Department,Head of Department,,,,,,,https://www.psgtech.edu/,,Unverified
PSG College of Technology,Data Science,Contact Department,Head of Department,,,,,,,https://www.psgtech.edu/,,Unverified
PSG College of Technology,Embedded Systems,Contact Department,Head of Department,,,,,,,https://www.psgtech.edu/,,Unverified
PSG College of Technology,VLSI,Contact Department,Head of Department,,,,,,,https://www.psgtech.edu/,,Unverified
PSG College of Technology,Semiconductor Technology,Contact Department,Head of Department,,,,,,,https://www.psgtech.edu/,,Unverified
PSG College of Technology,MCA,Dr.Chitra A,Head of Department,,,hod.mca@psgtech.ac.in,hod.mca@psgtech.ac.in,,,https://www.psgtech.edu/,https://psgtech.edu/Heads.php,Verified
PSG College of Technology,BCA,Contact Department,Head of Department,,,,,,,https://www.psgtech.edu/,,Unverified
